Customer_ID,Age,Annual_Income,Spending_Score,Purchases,Cluster
91,36,93408,100,11,0
92,52,33823,80,17,3
93,54,53557,94,6,3
94,34,77935,95,13,0
95,56,90593,10,16,2
96,30,106829,26,19,2
97,28,19702,73,16,3
98,47,35625,60,11,3
99,45,44453,6,29,1
100,24,47584,10,16,1
101,53,119793,53,25,4
102,26,96628,62,23,4
103,52,48644,17,17,1
104,18,117042,18,27,2
105,52,67427,13,4,2
106,51,67578,57,28,4
107,51,60538,1,26,1
108,46,30109,58,16,3
109,38,113110,48,23,4
110,48,16463,47,16,3
111,29,33299,68,9,3
112,51,39114,53,24,1
113,41,44326,73,8,3
114,37,28841,77,10,3
115,39,16885,93,16,3
116,42,86154,80,26,4
117,19,116778,52,12,0
118,24,27792,50,15,3
119,28,46136,24,2,3
120,22,68165,60,4,0
121,36,112388,14,2,2
122,46,87898,94,3,0
123,46,95450,85,27,4
124,38,76017,12,26,1
125,54,58789,79,25,4
126,42,35976,12,2,3
127,21,105753,73,3,0
128,50,99433,9,9,2
129,42,17635,49,17,3
130,45,90118,66,11,0
131,42,23860,73,15,3
132,41,92594,42,6,2
133,21,101725,93,22,4
134,42,28761,78,10,3
135,52,60553,21,2,2
136,31,27994,68,23,4
137,43,74565,74,28,4
138,19,112394,34,1,2
139,32,23491,74,14,3
140,36,56746,90,25,4
141,60,117178,82,22,4
142,27,46599,77,26,4
143,29,28882,64,13,3
144,35,66301,28,12,2
145,60,68379,80,22,4
146,54,84601,37,5,2
147,19,47942,54,8,3
148,28,115341,32,19,2
149,53,69707,32,21,1
150,20,45077,16,4,2
151,54,115830,97,16,0
152,30,112105,15,11,2
153,57,67412,9,16,1
154,30,17610,94,29,4
155,36,77678,56,3,0
156,46,73296,44,30,4
157,23,30562,74,14,3
158,41,81568,39,24,4
159,39,103284,13,13,2
160,51,26119,73,10,3
161,60,90949,18,24,1
162,46,29735,56,21,3
163,35,93627,95,5,0
164,35,59007,94,22,4
165,35,15683,37,23,1
166,53,116455,79,12,0
167,31,32427,62,28,4
168,25,77585,48,20,4
169,32,34054,14,11,1
170,18,112968,38,1,2
171,22,92524,66,21,4
172,21,99458,99,7,0
173,51,60368,1,23,1
174,49,64075,72,16,4
175,47,81602,85,15,0
176,37,97400,96,5,0
177,48,103933,43,22,4
178,24,16872,12,5,3
179,56,84674,28,13,2
180,39,26460,86,26,4
181,58,45233,88,28,4
182,24,102090,64,30,4
183,39,41304,13,29,1
184,47,98666,13,17,2
185,39,63616,48,7,3
186,37,39427,59,26,4
187,25,50095,4,25,1
188,34,70731,69,30,4
189,28,95341,55,20,4
190,30,78632,2,5,2
191,47,112989,10,16,2
192,45,106113,46,14,2
193,44,94102,73,26,4
194,33,78326,83,12,0
195,59,45435,44,10,3
196,21,58320,30,3,2
197,32,27484,97,26,4
198,23,54289,46,23,1
199,32,112280,32,2,2
200,59,59718,45,14,3
201,33,26941,2,15,1
202,57,83453,31,15,2
203,39,116075,52,28,4
204,48,106087,92,5,0
205,37,43778,74,10,3
206,29,62659,79,6,3
207,50,70757,55,8,0
208,59,41023,12,28,1
209,29,43212,40,29,1
210,51,39849,100,2,3
211,29,119432,5,19,2
212,48,93332,88,7,0
213,51,103290,69,6,0
214,37,100740,29,9,2
215,49,115711,78,6,0
216,29,26054,84,15,3
217,21,107572,5,30,1
218,22,21988,11,18,1
219,37,64919,67,22,4
220,56,77416,100,15,0
221,23,52575,3,1,2
222,37,30348,67,3,3
223,48,35191,14,9,1
224,26,101590,66,8,0
225,49,48466,63,26,4
226,31,47585,10,26,1
227,52,111953,69,26,4
228,42,30106,90,20,3
229,41,111103,87,17,0
230,25,111702,3,20,2
231,37,77849,25,13,2
232,54,32380,25,21,1
233,18,31365,46,24,1
234,50,44895,15,23,1
235,39,75629,86,19,4
236,48,31129,78,2,3
237,46,62844,81,22,4
238,36,27126,20,11,1
239,31,71730,2,23,1
240,44,17220,92,17,3
241,24,89449,29,27,1
242,43,20816,66,11,3
243,22,35456,91,28,4
244,45,33337,4,26,1
245,45,102255,1,10,2
246,21,20605,1,15,1
247,50,60072,16,16,1
248,35,77070,6,24,1
249,51,69180,82,21,4
250,19,86475,61,26,4
251,25,99326,99,12,0
252,39,56331,81,16,3
253,26,101963,97,13,0
254,32,48389,24,28,1
255,46,118365,29,10,2
256,24,67975,85,18,4
257,47,92282,25,4,2
258,22,106876,6,26,2
259,25,98229,67,12,0
260,43,104369,81,11,0
261,52,71334,97,18,4
262,25,19564,93,15,3
263,30,66774,13,26,1
264,57,34057,78,16,3
265,60,108358,85,16,0
266,42,39858,70,4,3
267,37,38947,82,1,3
268,32,41185,84,12,3
269,44,82470,45,30,4
270,43,74979,5,28,1
271,30,114629,46,19,2
272,18,58707,21,19,1
273,24,44639,12,12,1
274,59,20171,13,6,3
275,35,15742,70,1,3
276,38,54229,51,11,3
277,38,112211,54,10,0
278,51,69994,75,6,0
279,20,108823,55,8,0
280,21,25675,64,1,3
281,29,24798,9,19,1
282,38,102513,86,28,4
283,46,26208,45,21,1
284,39,20456,16,14,1
285,36,57430,82,13,3
286,58,112109,74,10,0
287,24,87385,6,5,2
288,42,25406,20,18,1
289,41,102899,2,17,2
290,38,103576,28,1,2
291,52,99073,10,13,2
292,29,109779,71,9,0
293,59,40187,53,6,3
294,32,117855,99,22,4
295,41,48673,75,16,3
296,40,99213,62,20,4
297,54,75833,51,22,4
298,36,96845,6,30,1
299,30,80921,8,25,1
300,18,82461,62,19,4
